,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,neighbourhood_group_Bronx,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,neighbourhood_group_Staten Island,room_type_Entire home/apt,room_type_Private room,room_type_Shared room
45619,300,2,1,1.0,179,0,0,0,1,0,0,1,0
45620,199,1,7,3.33,306,0,0,1,0,0,0,1,0
45621,179,1,5,2.38,326,0,0,1,0,0,0,1,0
45622,179,1,9,4.09,98,0,0,1,0,0,0,1,0
45623,190,3,11,5.16,238,0,0,1,0,0,1,0,0
45624,329,7,0,0.0,269,0,0,1,0,0,0,1,0
45625,365,7,0,0.0,269,0,0,1,0,0,0,1,0
45626,365,5,0,0.0,270,0,0,1,0,0,0,1,0
45627,49,30,1,1.0,244,0,0,0,1,0,0,1,0
45628,133,30,2,1.87,302,0,1,0,0,0,1,0,0
45629,133,30,1,1.0,365,0,1,0,0,0,1,0,0
45630,75,1,6,5.62,147,0,1,0,0,0,0,1,0
