,id,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,neighbourhood_Harlem,neighbourhood_Morningside Heights,neighbourhood_Upper West Side
3033,1497024,100,2,241,3.7,292,1,0,0,1,0,0
3069,1533652,121,7,71,1.12,164,1,0,0,0,0,1
3081,1549413,135,31,167,2.54,261,1,0,0,1,0,0
3087,1559912,79,5,9,0.14,0,1,0,0,0,1,0
3088,1560339,77,30,26,0.4,57,1,0,0,0,0,1
3092,1567225,550,4,14,0.24,55,1,0,0,0,0,1
3098,1573068,125,1,15,0.23,302,1,0,0,0,0,1
3101,1578103,99,2,17,2.7,61,0,1,0,1,0,0
3110,1584167,75,3,42,0.64,48,0,1,0,1,0,0
3114,1586773,155,1,110,1.68,210,1,0,0,1,0,0
3135,1606640,199,13,57,0.88,31,1,0,0,0,0,1
3146,1617443,85,3,36,0.57,24,0,0,1,1,0,0
3148,1619695,69,5,140,2.13,295,0,1,0,1,0,0
3159,1633420,80,1,69,1.11,365,0,1,0,1,0,0
3161,1634313,83,1,0,0.0,359,0,1,0,0,0,1
3180,1649957,125,2,19,0.29,365,1,0,0,0,1,0
3204,1664614,310,4,12,0.19,359,0,1,0,0,0,1
3210,1669250,99,30,24,0.37,78,1,0,0,0,0,1
3225,1683227,220,1,0,0.0,365,0,1,0,0,1,0
3231,1688914,110,30,126,1.94,365,1,0,0,1,0,0
3240,1696050,71,2,56,0.97,31,0,1,0,1,0,0
3245,1700471,60,7,92,1.41,345,0,1,0,1,0,0
3256,1706997,175,2,4,0.11,0,0,1,0,0,0,1
3265,1713965,139,1,2,0.03,365,0,1,0,0,0,1
3267,1716640,75,5,31,0.53,0,1,0,0,1,0,0
3285,1731365,439,3,64,1.0,169,1,0,0,0,0,1
3289,1732866,107,5,51,0.79,133,1,0,0,1,0,0
3314,1750248,90,2,17,0.26,365,0,1,0,1,0,0
3317,1752112,400,7,17,0.27,238,1,0,0,0,0,1
3335,1771965,176,21,70,1.11,224,1,0,0,1,0,0
3336,1776732,390,5,93,2.59,118,1,0,0,0,0,1
3344,1781786,150,3,47,0.75,164,1,0,0,1,0,0
3356,1793091,175,3,242,3.87,252,1,0,0,0,0,1
3381,1812111,80,1,1,0.03,0,0,1,0,1,0,0
3383,1813829,60,1,74,1.15,365,0,1,0,1,0,0
3402,1826701,65,7,7,0.12,365,0,1,0,1,0,0
3408,1831227,145,4,34,0.55,0,1,0,0,1,0,0
3425,1844792,130,1,1,0.03,0,0,1,0,1,0,0
3433,1850695,120,5,4,0.08,0,1,0,0,0,1,0
3434,1851567,92,1,1,0.05,365,0,1,0,1,0,0
3439,1855846,150,5,26,0.41,365,1,0,0,1,0,0
3441,1856182,100,6,48,0.77,44,1,0,0,0,0,1
3448,1861493,299,4,38,0.61,0,1,0,0,0,0,1
3454,1865884,139,5,0,0.0,0,1,0,0,1,0,0
3513,1908852,189,1,7,0.15,0,1,0,0,0,0,1
3515,1910123,65,1,0,0.0,365,0,1,0,1,0,0
3524,1914231,140,2,296,4.69,259,1,0,0,1,0,0
3530,1918017,130,30,3,0.05,365,1,0,0,0,0,1
3534,1919766,60,1,220,3.5,365,0,1,0,1,0,0
3546,1928961,45,1,205,3.26,356,0,0,1,1,0,0
3564,1935826,90,3,1,0.02,365,0,1,0,1,0,0
3567,1937226,174,3,162,2.6,100,1,0,0,1,0,0
