,Stars,Accuracy,Communication,Cleanliness,Location,Check-In,Value
3317978,null,10,10,6,9,10,8
3325584,null,10,10,10,9,10,10
3325807,5,10,10,10,10,9,10
3328706,5,10,10,9,10,10,10
3359001,5,10,10,10,10,10,10
3359315,4.5,8,9,7,9,8,10
3372642,null,,,,,,
3391220,null,,,,,,
3394768,4.5,9,9,9,9,9,9
3395697,null,10,10,10,10,10,10
3403034,4.5,10,10,10,9,10,9
3426079,4.5,9,10,8,10,10,10
3434471,5,10,10,10,10,10,10
3439207,4.5,9,10,9,9,10,9
3450210,5,10,10,10,10,10,10
3455983,null,,,,,,
3458525,4.5,9,10,9,9,10,9
3465977,4,9,9,9,10,10,7
3468914,4.5,9,8,9,9,9,8
3468942,4.5,10,9,9,10,9,9
3485146,null,8,8,10,8,8,8
3488989,4.5,10,10,10,9,10,9
3492910,5,10,10,10,10,10,10
3496438,null,10,8,10,10,8,10
3499251,5,10,10,8,10,10,9
3511934,null,,,,,,
3512428,5,10,10,10,10,10,10
3522513,5,10,10,9,9,10,10
3530122,4.5,9,10,9,9,10,9
3531345,5,10,10,10,10,10,10
3531959,null,10,10,10,10,9,10
3533777,4.5,9,9,8,9,9,9
3543227,4.5,10,10,9,10,10,10
3550298,5,10,10,10,10,10,10
3550879,4.5,10,10,9,8,10,9
3574304,null,10,10,10,10,10,10
3578158,null,,,,,,
3581652,4.5,10,10,9,9,9,9
3585452,5,10,10,9,10,10,10
3593491,,,,,,,
3613161,5,10,10,10,10,10,10
3613839,4.5,10,10,9,9,10,10
3625075,4.5,10,10,9,9,10,10
3632258,5,10,10,10,10,10,10
3677995,4.5,9,9,9,9,10,9
3687880,,,,,,,
3701890,5,10,10,9,10,10,10
3703037,null,,,,,,
3709294,,,,,,,
3727861,null,,,,,,
3728303,4,10,8,8,10,8,9
3739167,4.5,9,9,8,9,10,9
3741405,4.5,9,10,10,9,10,9
3758296,5,10,10,10,10,10,9
3762842,null,10,10,8,10,10,10
3767267,5,10,10,9,10,10,10
3780113,4.5,10,10,10,9,10,9
3783016,5,10,10,10,10,10,9
3783021,5,10,10,10,10,10,9
3783639,null,,,,,,
3790746,5,10,10,9,9,10,10
3808323,5,10,10,10,10,10,10
3812133,null,,,,,,
3818187,null,10,10,10,10,10,10
3819407,5,10,10,10,10,10,9
3819703,5,10,9,9,10,10,9
3827311,4.5,10,10,8,9,10,9
3835334,null,,,,,,
3838375,5,10,10,10,10,10,10
3848431,5,9,10,9,9,9,9
3851498,5,10,10,9,10,10,9
3865784,,,,,,,
3866538,5,10,10,9,10,10,9
3866843,,,,,,,
3867705,null,10,10,10,10,10,9
3876850,5,10,10,10,10,10,9
3882466,4,8,8,8,9,7,7
3882682,5,10,10,10,10,10,10
3888752,5,10,10,10,10,9,10
3897761,,,,,,,
3911451,4.5,9,9,8,8,8,9
3914773,4.5,9,10,9,10,10,9
3915796,,,,,,,
3916312,5,10,10,9,8,10,9
3924092,5,10,10,10,10,10,9
3924820,5,10,10,10,9,10,10
3946115,null,10,10,8,8,10,8
3948939,null,10,10,10,10,10,10
3952093,4.5,10,10,8,10,10,10
3953585,5,10,10,9,9,10,10
3958460,5,10,10,10,10,10,10
3968434,4.5,9,9,9,8,9,9
3974464,null,,,,,,
3979628,4.5,9,10,9,9,10,9
3979714,5,10,10,9,10,10,10
3983469,5,10,10,9,10,10,10
3993392,5,10,10,9,9,10,9
4000561,null,,,,,,
4000571,5,9,10,10,10,10,9
4006264,null,10,10,10,10,10,10
4007770,null,,,,,,
4014004,,,,,,,
4025329,4.5,9,10,9,9,10,9
4041383,5,10,10,10,10,10,10
4047751,null,,,,,,
4047932,4,8,9,6,9,9,8
4051643,null,10,8,10,10,10,8
4058701,5,10,10,9,10,10,10
4069341,5,10,10,10,9,10,9
4081800,4.5,10,10,10,9,10,9
4098078,null,10,10,10,10,10,10
4102483,5,10,10,10,10,10,10
4125398,4.5,9,10,10,10,10,9
4135848,5,10,10,9,10,10,10
4135876,4.5,10,10,9,9,10,10
4136252,5,10,10,10,9,10,10
4137680,5,10,10,10,10,10,10
4148088,5,10,10,10,9,10,10
4154009,4,9,7,9,9,10,9
4163020,4.5,9,10,8,10,10,9
4163804,null,,,,,,
4170796,5,10,10,10,9,10,9
4173751,4.5,10,10,9,9,10,9
4183989,4.5,10,10,9,10,10,9
4218067,4.5,9,9,10,8,9,9
4218098,4.5,10,10,9,10,10,9
4218326,5,10,10,10,10,10,10
4226098,4.5,9,10,9,10,10,10
4232865,null,6,10,6,10,10,6
4233705,null,,,,,,
4235201,,,,,,,
4243458,4.5,9,10,8,10,10,9
4248788,4.5,9,10,8,10,9,8
4257572,4.5,9,10,7,10,10,8
4257889,4.5,9,10,9,10,10,9
4260964,5,10,10,10,10,10,10
4261029,,,,,,,
4261214,5,10,10,10,9,10,10
4262120,null,,,,,,
4271119,4.5,10,10,9,10,10,10
4276532,5,10,10,10,9,10,10
4276762,5,10,10,10,9,10,10
4279365,5,10,10,9,10,10,10
4320934,4.5,9,9,9,9,9,9
4325329,5,10,10,10,10,10,10
4333204,4.5,9,10,9,8,10,8
4338541,5,10,10,10,9,10,9
4343312,null,10,10,10,10,10,8
4343956,4.5,9,9,8,9,9,9
4349358,4.5,9,10,9,10,9,9
4350464,null,10,10,8,10,8,10
4364924,null,,,,,,
4369737,4.5,10,10,8,10,10,10
4372104,,,,,,,
4374913,,,,,,,
4386718,null,10,10,10,10,10,10
4392996,4.5,9,10,9,10,9,9
4401193,5,10,10,10,10,10,10
4423650,5,10,10,10,10,10,10
4423782,5,10,10,9,10,10,10
4426780,4.5,10,10,8,9,10,9
4431674,4.5,10,9,9,9,9,9
4438223,5,10,10,10,10,10,10
4440020,4.5,10,9,10,9,10,9
4444204,4,7,9,7,10,8,9
4447904,5,10,10,9,10,10,9
4449058,4.5,9,10,9,9,9,8
4454122,5,10,10,10,10,10,10
4454538,4,10,9,10,9,9,8
4464418,4.5,10,10,10,10,10,9
4469650,5,10,10,10,9,10,9
4476605,null,,,,,,
4476945,5,10,10,10,9,10,9
4483672,,,,,,,
4492303,5,9,10,9,10,9,9
4498927,5,10,10,10,9,10,9
4499097,5,10,10,9,10,10,10
4499976,4,9,9,8,10,8,8
4508885,null,,,,,,
