,id,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,neighbourhood_group_Bronx,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,neighbourhood_group_Staten Island,room_type_Entire home/apt,room_type_Private room,room_type_Shared room
8210,5588684,190,3,16,0.46,0,0,1,0,0,0,1,0,0
8211,5590387,125,2,15,0.4,247,0,0,1,0,0,0,1,0
8212,5590400,100,6,0,0.0,0,0,0,1,0,0,1,0,0
8213,5590966,70,1,131,2.78,0,0,0,1,0,0,0,1,0
8214,5591612,130,2,42,0.9,10,0,1,0,0,0,1,0,0
8215,5593205,45,1,1,0.03,0,0,1,0,0,0,0,1,0
8216,5593679,105,60,5,0.11,292,0,0,1,0,0,1,0,0
8217,5593725,46,2,6,0.59,0,0,0,1,0,0,0,1,0
8218,5593975,125,14,7,0.17,179,0,1,0,0,0,0,1,0
8219,5594883,80,5,0,0.0,0,0,0,1,0,0,0,1,0
8220,5598429,200,4,19,0.42,14,0,1,0,0,0,1,0,0
8221,5598465,105,1,7,0.16,0,0,0,0,1,0,1,0,0
8222,5598741,290,1,2,0.05,365,0,0,1,0,0,1,0,0
8223,5601147,100,1,0,0.0,0,0,0,1,0,0,1,0,0
8224,5602200,75,2,9,0.23,0,0,1,0,0,0,1,0,0
8225,5602369,250,5,17,0.36,78,0,1,0,0,0,1,0,0
8226,5604005,400,2,90,1.92,311,0,0,1,0,0,1,0,0
8227,5604704,160,3,120,2.61,335,0,1,0,0,0,1,0,0
8228,5605209,110,1,156,3.31,283,0,0,1,0,0,0,1,0
8229,5605790,220,1,59,2.87,52,0,1,0,0,0,1,0,0
8230,5605822,135,2,133,2.85,169,0,1,0,0,0,1,0,0
8231,5606191,95,30,3,0.07,365,0,0,0,1,0,1,0,0
8232,5606308,99,2,25,0.56,89,0,1,0,0,0,0,1,0
8233,5611893,89,4,1,0.03,35,0,0,1,0,0,0,1,0
8234,5612772,799,2,100,2.17,300,0,0,1,0,0,1,0,0
8235,5613334,110,7,0,0.0,0,0,1,0,0,0,0,1,0
8236,5615835,75,3,22,1.23,168,0,0,1,0,0,0,1,0
8237,5616298,2000,30,9,0.2,365,0,0,1,0,0,1,0,0
8238,5618341,160,1,0,0.0,0,0,1,0,0,0,1,0,0
8239,5619149,525,6,56,1.21,148,0,0,1,0,0,1,0,0
8240,5623799,49,1,0,0.0,0,0,0,1,0,0,0,1,0
