,id,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,neighbourhood_Harlem,neighbourhood_Morningside Heights,neighbourhood_Upper West Side,Accuracy,Communication,Cleanliness,Location,Check-In,Value
167,504394,150,4,2,0.03,93,1,0,0,0,0,1,10.0,10.0,10.0,9.0,10.0,10.0
169,510218,185,2,147,1.82,319,1,0,0,0,0,1,9.0,10.0,9.0,10.0,9.0,9.0
170,518960,90,4,249,3.16,134,1,0,0,1,0,0,10.0,10.0,10.0,10.0,10.0,10.0
171,521038,115,7,8,0.1,178,0,1,0,1,0,0,9.0,9.0,9.0,8.0,9.0,9.0
172,526532,100,2,24,0.31,0,1,0,0,1,0,0,9.0,10.0,9.0,9.0,9.0,9.0
173,530247,250,4,2,0.04,0,1,0,0,0,0,1,10.0,10.0,10.0,10.0,10.0,10.0
174,530431,190,30,192,2.56,365,1,0,0,1,0,0,10.0,10.0,10.0,9.0,10.0,10.0
175,530576,93,14,78,0.97,136,0,1,0,0,0,1,10.0,10.0,9.0,10.0,10.0,10.0
176,535352,102,3,34,0.51,0,1,0,0,0,0,1,10.0,10.0,10.0,10.0,10.0,9.0
177,540057,185,1,78,0.97,149,1,0,0,1,0,0,10.0,10.0,10.0,9.0,10.0,10.0
178,550777,210,3,22,0.28,358,1,0,0,0,0,1,9.0,10.0,9.0,10.0,10.0,9.0
179,552639,220,3,22,0.37,168,1,0,0,1,0,0,10.0,10.0,10.0,9.0,10.0,10.0
181,557213,88,1,160,2.3,27,0,1,0,1,0,0,10.0,10.0,10.0,10.0,10.0,9.0
182,564049,90,30,23,0.29,0,1,0,0,0,0,1,10.0,10.0,9.0,10.0,10.0,10.0
183,564751,76,2,147,1.89,291,0,0,1,0,0,1,9.0,10.0,9.0,10.0,10.0,9.0
184,566943,200,2,31,0.7,365,0,1,0,1,0,0,9.0,10.0,9.0,9.0,10.0,9.0
185,573612,78,1,122,1.54,320,0,1,0,1,0,0,10.0,10.0,10.0,10.0,10.0,10.0
186,573870,120,30,16,0.2,338,1,0,0,0,0,1,9.0,10.0,8.0,10.0,9.0,9.0
187,576227,529,31,4,0.05,0,1,0,0,1,0,0,10.0,10.0,10.0,10.0,10.0,10.0
